name,ring,quadrant,isNew,description
Kustomize,Hold,Technologies,FALSE,"<p><strong><a href=""https://kustomize.io/"">Kustomize</a></strong> is a tool to manage and customize Kubernetes manifest files. It allows you to select and patch your base Kubernetes resources before applying them to different environments and is now natively supported by <a href=""https://kubernetes.io/docs/reference/kubectl/overview/"">kubectl</a>. We like it because it helps keep your code <a href=""https://wiki.c2.com/?DontRepeatYourself"">DRY</a> and in contrast to <a href=""/radar/tools/helm"">Helm</a> (which is trying to do many things — package management, version management and so on), we find Kustomize follows the Unix philosophy: do one thing well and expect the output of every program to be input to another.</p>"
tfsec,Adopt,Technologies,FALSE,"<p>Security is everyone's concern, and capturing risks early is always better than facing problems later on. In the <a href=""/radar/techniques/infrastructure-as-code"">infrastructure as code</a> space — where <a href=""/radar/tools/terraform"">Terraform</a> has been an obvious choice to manage cloud environments — we now also have <strong><a href=""https://github.com/liamg/tfsec"">tfsec</a></strong>, a static analysis tool that scans Terraform templates to find potential security issues. Our teams have been using tfsec quite successfully. The tool is easy to set up and use, which makes it a great choice for any development team determined to mitigate security risks to prevent breaches before they happen. Its preset rules for different cloud providers, including <a href=""/radar/platforms/aws"">AWS</a> and <a href=""/radar/platforms/azure"">Azure</a>, compliment the benefits that tfsec brings to the teams that use Terraform.</p>"
Yarn,Adopt,Technologies,FALSE,"<p><strong><a href=""https://yarnpkg.com/"">Yarn</a></strong> continues to be the package manager of choice for many teams. We're excited about Yarn 2, a major new release with a long list of changes and improvements. In addition to usability tweaks and improvements in the area of workspaces, Yarn 2 introduces the concept of <em>zero-installs</em>, which allows developers to run a project directly after cloning it. However, Yarn 2 includes some breaking changes which makes the upgrade <a href=""https://yarnpkg.com/advanced/migration"">nontrivial</a>. It also defaults to <a href=""https://classic.yarnpkg.com/en/docs/pnp/"">plug'n'play</a> (PnP) environments and at the same time doesn't support React Native in PnP environments. Teams can, of course, opt out of PnP or stay on Yarn 1. They should be aware, though, that Yarn 1 is now in maintenance mode.</p>"
Elastic Search,Assess,Technologies,FALSE,"<p><a href=""https://www.elastic.co/"">Elastic Search</a> is a search engine based on the Lucene library. It provides a distributed, multitenant-capable full-text search engine with an HTTP web interface and schema-free JSON documents.</p>"
Prometheus,Adopt,Technologies,FALSE,"<p><a href=""https://prometheus.io/"">Prometheus</a> is an open-source systems monitoring and alerting toolkit originally built at SoundCloud. Since its inception in 2012, many companies and organizations have adopted Prometheus, and the project has a very active developer and user community. It is now a standalone open source project and maintained independently of any company. To emphasize this, and to clarify the project's governance structure, Prometheus joined the Cloud Native Computing Foundation in 2016 as the second hosted project, after Kubernetes.</p>"
Data Dog,Adopt,Technologies,FALSE,"<p><a href=""https://www.datadoghq.com/"">Datadog</p> is the essential monitoring and security platform for cloud applications. We bring together end-to-end traces, metrics, and logs to make your applications, infrastructure, and third-party services entirely observable. These capabilities help businesses secure their systems, avoid downtime, and ensure customers are getting the best user experience.</p>"
Open API,Adopt,Technologies,FALSE,"<p><a href=""https://www.openapis.org/"">The OpenAPI Initiative (OAI)</a> was created by a consortium of forward-looking industry experts who recognize the immense value of standardizing on how APIs are described. As an open governance structure under the Linux Foundation, the OAI is focused on creating, evolving and promoting a vendor neutral description format. The OpenAPI Specification was originally based on the Swagger Specification, donated by SmartBear Software.</p>"
Rancher,Hold,Technologies,FALSE,"<p>Your organization is deploying Kubernetes clusters everywhere – on-premises, in the cloud and at the edge. <a href=""https://rancher.com/products/rancher/"">Rancher</a> unifies these clusters to ensure consistent operations, workload management and enterprise-grade security.</p>"
Kubernetes,Adopt,Platforms,FALSE,"<p><a href=""https://kubernetes.io/"">Kubernetes</a>, also known as K8s, is an open-source system for automating deployment, scaling, and management of containerized applications.</p>"
Istio,Adopt,Platforms,FALSE,"<p><a href=""https://istio.io/"">Istio</a> is leading Service Mesh for Kubernetes environments. It provides ootb observability, security, control and connectivity to services and pods</p>"
C#,Adopt,languages-and-frameworks,FALSE,"<p>C# is the language of choice for new, custom made services</p>"
.NET Core,Adopt,languages-and-frameworks,FALSE,<p>.NET Core is the framework of choice for building custom made services</p>
Dapr,Assess,Platforms,FALSE,"<p><a href=""https://dapr.io/"">Dapr</a> is a portable, event-driven runtime that makes it easy for developers to build resilient, microservice stateless and stateful applications that run on the cloud and edge and embraces the diversity of languages and developer frameworks.We need to analyze if the technology is mature enough for the use on production system and if does not have many limitations.</p>"
Apache Camel,Adopt,Technologies,FALSE,"<p><a href=""https://camel.apache.org/"">Apache Camel</a> is an Open Source integration framework that empowers you to quickly and easily integrate various systems consuming or producing data. We plan to use it as a foundation of the integration service.</p>"
Epsagon,Assess,Technologies,FALSE,"<p><a href=""https://epsagon.com/"">Epsagon</a> is another tool to understand the observability of the cluster.</p>"
Apache ActiveMQ Artemis,Adopt,Technologies,FALSE,"<p><a href=""http://activemq.apache.org/"">Apache ActiveMQ</a> is the most popular open source, multi-protocol, Java-based messaging server. It supports industry standard protocols so users get the benefits of client choices across a broad range of languages and platforms. Connectivity from C, C++, Python, .Net, and more is available. Integrate your multi-platform applications using the ubiquitous AMQP protocol. Exchange messages between your web applications using STOMP over websockets. Manage your IoT devices using MQTT. Support your existing JMS infrastructure and beyond. ActiveMQ offers the power and flexibility to support any messaging use-case.</p>"
RabbitMQ,Hold,Technologies,FALSE,"<p><a href=""https://www.rabbitmq.com/"">RabbitMQ</a> is one of the most popular open source message brokers. From T-Mobile to Runtastic, RabbitMQ is used worldwide at small startups and large enterprises.

RabbitMQ is lightweight and easy to deploy on premises and in the cloud. It supports multiple messaging protocols. RabbitMQ can be deployed in distributed and federated configurations to meet high-scale, high-availability requirements.

RabbitMQ runs on many operating systems and cloud environments, and provides a wide range of developer tools for most popular languages.</p>"
NServiceBus,Hold,Technologies,FALSE,"<p><a href=""https://particular.net/nservicebus"">NServiceBus</a> is the most developer-friendly service bus for .NET
More than 50,000 developers rely on NServiceBus every day

Backed by a rock-solid distributed development methodology, a worldwide community of experts, consultants and contributors, NServiceBus offers enterprise-grade scalability and reliability for your workflows and integrations without any messy XML configuration - just pure-code bliss.</p>"
Ambassador,Hold,Technologies,FALSE,"<p><a href=""https://www.getambassador.io/products/api-gateway/"">Open Source Ambassador API Gateway</a> Route traffic to your Kubernetes services with the most popular Envoy Proxy-based Kubernetes Ingress Controller and API Gateway.</p>"
Krakend,Hold,Technologies,FALSE,"<p><a href=""https://www.krakend.io/"">KrakenD</a> KrakenD is a stateless, distributed, high-performance API Gateway that helps you effortlessly adopt microservices</p>"
Tyk,Hold,Technologies,FALSE,"<p><a href=""https://tyk.io/"">Tyk</a> - take almost any kind of service (legacy, REST, GraphQL or otherwise) and get it out into the world. Our powerful, lightweight and feature-packed API Gateway does the hard work, so you can get back to creating the cool stuff. You can install it yourself, or use Tyk Cloud to get started instantly with no installation.</p>"
Ocelot,Hold,Technologies,FALSE,"<p><a href=""https://threemammals.com/ocelot"">Ocelot</a> - A modern fast, scalable API gateway built on asp.net core</p>"
Apache APISIX,Hold,Technologies,FALSE,"<p><a href=""https://apisix.apache.org/"">Apache APISIX</a> is a dynamic, real-time, high-performance Cloud-Native API gateway, based on the Nginx library and etcd.</p>"
Apache Zookeper,Hold,Technologies,FALSE,"<p><a href=""https://zookeeper.apache.org/"">Apache Zookeper</a>  is a centralized service for maintaining configuration information, naming, providing distributed synchronization, and providing group services.</p>"
etcd,Adopt,Technologies,FALSE,"<p><a href=""https://etcd.io/"">etcd</a> is a distributed, reliable key-value store for the most critical data of a distributed system</p>"
Linkerd,Hold,Platforms,FALSE,"<p><a href=""https://linkerd.io/"">Linkerd</a> adds critical security, observability, and reliability features to your Kubernetes stack—no code change required.</p>"
Docker,Adopt,Platforms,FALSE,
Code Reviews,Adopt,Techniques,FALSE,
Continuous Delivery,Adopt,Techniques,FALSE,
DevOps,Adopt,Techniques,FALSE,
Feature Flags,Adopt,Techniques,FALSE,
Monorepo,Adopt,Techniques,FALSE,
Robotic Process Automation,Assess,Techniques,FALSE,
Elastic Search + Kibana,Assess,Technologies,FALSE,
Cypress,Adopt,Technologies,FALSE,
gRPC + Protobuf,Hold,languages-and-frameworks,FALSE,
Sass,Adopt,languages-and-frameworks,FALSE,
Vue,Hold,languages-and-frameworks,FALSE,
React,Adopt,languages-and-frameworks,FALSE,
Java,Adopt,languages-and-frameworks,FALSE,
MongoDB Atlas,Adopt,Technologies,FALSE,
Adaptive Cards,Trial,Technologies,TRUE,
Keycloak,Adopt,Technologies,FALSE,
SCIM,Adopt,Techniques,FALSE,
Postgres,Adopt,Technologies,FALSE,
Scrum,Adopt,Techniques,FALSE,
LEAN Startup,Assess,Techniques,TRUE,
HELM,Adopt,Technologies,FALSE,
Microsoft Azure,Adopt,Platforms,FALSE,
AKS,Adopt,Platforms,FALSE,
Single SPA,Adopt,languages-and-frameworks,FALSE,
Webpack,Adopt,languages-and-frameworks,FALSE,
Web Components,Adopt,Techniques,FALSE,
